"Órgão Superior Lotação";"Órgão Lotação";"Servidores";"Inativos";"Pensionistas";
"Sem informação";"Ministério da Defesa";"1";"0";"0";
"Sem informação";"Tribunal Regional Eleitoral - PI";"1";"0";"0";
"Sem informação";"Prefeitura Municipal de Vitória - ES";"1";"0";"0";
"Ministério da Infraestrutura";"Companhia das Docas do Estado da Bahia";"3";"0";"0";
"Sem informação";"Ministério da Infraestrutura";"3";"0";"0";
"Sem informação";"Tribunal Regional Federal da 3ª Região - SP";"1";"0";"0";
"Sem informação";"Empresa de Portos do Brasil S.A.";"2";"0";"0";
"Sem informação";"Tribunal Superior Eleitoral";"1";"0";"0";
"Sem informação";"Órgão Central do SIPEC - Sistema de Pessoal Civil da Administração Federal";"1";"0";"0";
"Sem informação";"Procuradoria-Geral da República";"1";"0";"0";
"Sem informação";"Tribunal Regional Eleitoral - MS";"1";"0";"0";
"Ministério de Minas e Energia";"Eletrobras - Centrais Elétricas Brasileiras S.A - Holding";"14";"0";"0";
"Sem informação";"Câmara Legislativa do Distrito Federal";"1";"0";"0";
"Sem informação";"Tribunal Regional Eleitoral - RS";"1";"0";"0";
"Sem informação";"Governo do Estado do Piauí";"1";"0";"0";
"Sem informação";"Governo do Estado do Maranhão";"3";"0";"0";
"Sem informação";"Tribunal Regional Eleitoral - GO";"1";"0";"0";
"Sem informação";"Governo do Estado de Roraima";"4";"0";"0";
"Sem informação";"Tribunal Regional do Trabalho - AL";"1";"0";"0";
"Sem informação";"Governo do Estado de Sergipe";"3";"0";"0";
"Ministério da Infraestrutura";"Companhia Docas do Estado de São Paulo";"8";"0";"0";
"Sem informação";"Supremo Tribunal Federal";"1";"0";"0";
"Sem informação";"Ministério Público do Trabalho";"1";"0";"0";
"Presidência da República";"Advocacia-Geral da União";"3";"0";"0";
"MIN GESTAO E INOV EM SERV PUBLICOS";"INST NAC DE TECN DA INFORMACAO";"5";"0";"0";
"Sem informação";"Tribunal Regional Federal da 1ª Região - DF";"1";"0";"0";
"Sem informação";"Governo do Estado do Tocantins";"6";"0";"0";
"Sem informação";"Governo do Estado de Goiás";"7";"0";"0";
"Sem informação";"Governo do Estado da Bahia";"12";"0";"0";
"Sem informação";"Governo do Estado de Rondônia";"5";"0";"0";
"Sem informação";"Governo do Distrito Federal";"9";"0";"0";
